S1,S1Ampli,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,impacted,uplifted,runFailed
1.1929166666666666,1.6635416666666667,3.27625,0.14808333333333334,0.04107886371266148,33.025,1.1010416666666667,1.7312500000000002,RSN1833_HECTOR_SNC090,71.28763557307882,0.08809285724552421,0.08809285724552421,69.35250000000003,69.35250000000003,W24X62,W21X44,W14X145,32.0,0.9756639690058897,1.8977584940013679,3.764500575144044,0.6285924528528585,0.3168857708624526,1.125079284775695,1.4847703191998167,1.0005126301957394,0.6548218947899572,0.5520957016777044,33.9273,0.054346153846153836,0.06521025641025642,0.06256602564102565,1,1,1,1,1,1,1,1,0
1.0179166666666668,2.246875,2.8512500000000003,0.15658333333333335,0.028075991152487177,17.975,1.3239583333333331,0.51875,RSN82_SFERN_PHN180,27.327306924199032,0.08847761831947473,0.08847761831947473,53.92500000000003,53.92500000000003,W30X108,W21X55,W14X342,28.0,0.622215760574942,1.583501081054769,3.3194901493342,0.6428266319771839,0.3066484974720691,1.2532649914322873,1.5837013310895913,1.0950822493902335,1.1215245047109246,1.1681471182653111,32.0751,0.14111025641025643,0.14414487179487176,0.14994871794871797,1,1,1,1,1,1,1,1,0
1.27625,1.659375,3.51375,0.13241666666666668,0.043461522172884876,34.825,1.1739583333333332,1.83375,RSN347_COALINGA.H_H-Z09000,18.60401626338457,0.07227926393647968,0.07227926393647968,76.61500000000004,76.61500000000004,W24X62,W21X44,W14X132,40.0,0.9966987297986257,1.6843990271362956,3.9567007953656064,0.7576886351981551,0.3225540838202481,1.1836181363681904,2.4024631274014405,1.604561582120728,0.40905360850277955,0.6132456508307244,41.3003,0.042353846153846145,0.0452679487179487,0.03932179487179487,0,0,0,1,1,1,1,1,0
1.24875,1.6260416666666666,3.45125,0.11075000000000003,0.03551773997301787,16.825,1.315625,1.28875,RSN471_MORGAN_SJL270,27.24330702224363,0.0563863430954962,0.0563863430954962,70.66500000000003,70.66500000000003,W24X68,W18X40,W14X159,46.0,0.9415221505330968,1.1280116080046318,3.799955309214645,1.1070364800668544,0.32862228589158987,1.1457641404001933,2.6627207806927697,2.335857464742842,0.4683186997397451,0.6066411462007806,46.0425,0.021364743589743603,0.025130769230769234,0.018698076923076866,0,0,0,1,1,1,1,1,0
1.07625,1.2697916666666669,2.95625,0.11975,0.023290638877599745,32.625,1.8114583333333332,1.15625,RSN1106_KOBE_KJM000,1.726294558533405,0.12741839234620772,0.12741839234620772,55.46250000000002,55.46250000000002,W24X76,W18X40,W14X176,45.0,0.8916919763723269,2.3340962250138895,3.3664799184479053,0.4610992419533156,0.319695951282014,0.8073659030819247,2.635860172184512,0.4359726821019848,0.20108693407820485,0.2978480011084836,21.2529,0.009948076923076922,0.014835320512820513,0.014177692307692306,0,0,0,0,0,0,0,1,0
1.0820833333333333,1.415625,3.28125,0.11675,0.004353092339659845,18.825,1.903125,1.05125,RSN4224_NIIGATA_NIGH07NS,106.92454238710015,0.07222778416895131,0.07222778416895131,65.88750000000005,65.88750000000005,W24X76,W18X40,W14X193,53.0,0.874187760372769,1.9012778529087893,3.6692543851292707,0.5691347699011169,0.29490550933693593,0.9009467891990018,1.2579479947666037,0.782473071468412,0.39418467792822365,0.5747912886714991,50.6833,0.017866025641025657,0.02074935897435901,0.015425641025641012,0,0,0,1,1,1,0,1,0
1.184583333333333,1.2781250000000002,3.95375,0.12908333333333336,0.007445747105190179,21.175,1.840625,1.96875,RSN347_COALINGA.H_H-Z09000,14.008985522318026,0.06175835140369321,0.06175835140369321,97.40500000000002,97.40500000000002,W24X55,W18X35,W14X132,66.0,1.0684883523032391,1.9506999981840405,4.461356543570973,0.6072606420444424,0.2655208840101278,0.8912747173291516,1.8090755615984784,1.0347178596490654,0.20969947028889602,0.30862536268556906,29.8757,0.015266025641025634,0.017527564102564088,0.011919871794871776,0,0,0,1,1,0,0,1,0
1.1329166666666668,1.4114583333333337,2.60875,0.11325,0.041434054032533675,21.475,2.0322916666666666,0.81625,RSN8163_SIERRA.MEX_SIV000,80.24477220683785,0.08984337777362333,0.08984337777362333,40.80250000000002,40.80250000000002,W30X90,W18X50,W14X257,48.0,0.7141922414670896,1.5376743351543505,2.88748471561817,0.7367728268371895,0.3923541691974377,0.9369014703966294,1.8960523658211592,0.8451800295515323,0.5086569060519146,0.506642541709123,22.9524,0.009342307692307691,0.013055128205128193,0.012158333333333328,0,0,0,0,0,0,0,1,0
1.1529166666666666,1.9552083333333328,3.10375,0.15808333333333335,0.04689868882883945,40.325,1.4177083333333331,0.97625,RSN827_CAPEMEND_FOR000,9.527575446173792,0.11596198678536959,0.11596198678536959,64.52000000000002,64.52000000000002,W24X84,W21X44,W14X211,37.0,0.814457382326967,2.215283578629867,3.6309769058838444,0.5204375086731493,0.3175224454879936,1.2400577557025185,1.7136259087186398,1.3970995064444167,0.6038956405871987,0.8272721004964706,39.269,0.15499423076923077,0.16005576923076922,0.15518589743589745,1,1,1,1,1,1,1,1,0
1.2679166666666668,1.1302083333333337,3.3937500000000003,0.10591666666666667,0.020919236873853088,16.175,1.6177083333333333,1.63625,RSN5267_CHUETSU_NIG021NS,12.781361294668878,0.06204371503412667,0.06204371503412667,67.93500000000003,67.93500000000003,W24X68,W18X40,W14X159,56.0,0.9415221504640615,1.480129637382975,3.725830531136595,0.8566254162091348,0.3403044384522445,0.8454527689399576,1.7834549170683989,0.7062450815431266,0.44884027130480275,0.5635509492523005,38.4541,0.016791025641025633,0.01891282051282048,0.014017307692307704,0,0,0,1,1,0,0,1,0
1.137916666666667,1.0135416666666666,2.71625,0.15575000000000006,0.06694972930058543,28.175,1.4260416666666669,1.67375,RSN5818_IWATE_48A61NS,2.5622288790961427,0.08753706524153831,0.08753706524153831,47.89750000000002,47.89750000000002,W24X68,W21X44,W14X159,32.0,0.9203762998142969,1.163623153463867,3.12847529920678,0.977908237112095,0.3637288320464553,0.6813603115598026,0.7778012161226052,0.6739466400027794,0.470485218347361,0.42714492793835784,17.1858,0.014233974358974345,0.017814743589743588,0.012690384615384622,0,0,0,0,1,0,0,1,0
0.9895833333333334,1.1864583333333334,2.58875,0.17675000000000002,0.03689967265365923,19.725,1.359375,0.6012500000000001,RSN3753_LANDERS_FVR045,8.611953408743972,0.11440136820410032,0.11440136820410032,47.340000000000025,47.340000000000025,W30X99,W21X55,W14X311,24.0,0.6525189753234187,1.6524366012150848,3.110215161509148,0.5988631168092403,0.31817198552050163,0.6936328142183183,2.067109091598657,0.548235792189593,0.16560793360925383,0.24448219510612942,9.3669,0.005610320512820508,0.007967564102564096,0.00707948717948718,0,0,0,0,0,0,0,1,0
0.92625,1.5427083333333331,2.94875,0.17641666666666667,0.03183234659059559,25.425,1.6989583333333331,1.55125,RSN930_BIGBEAR_SB2270,13.274909751504056,0.0912889784821776,0.0912889784821776,61.02000000000003,61.02000000000003,W24X55,W18X40,W14X132,32.0,1.0535045814766606,1.8394914189057754,3.531119449458655,0.5035359178522189,0.26231058259498996,0.8431184029234028,1.41909979985456,1.02855118297381,0.21739372711279153,0.34876779278098047,23.3966,0.017853846153846175,0.0212551282051282,0.015075000000000007,0,0,0,1,1,1,0,1,0
1.1195833333333334,1.6927083333333337,3.92125,0.14975000000000002,0.02381086677513336,44.02500000000001,1.971875,1.81875,RSN1148_KOCAELI_ARE000,17.35440751709188,0.07785059026336727,0.07785059026336727,101.25750000000008,101.25750000000008,W24X55,W18X35,W14X120,63.0,1.0888737198456289,2.4989156322935457,4.548727366543408,0.4480276640255203,0.24613111385132505,1.0839330985373294,2.0240514904814324,0.5874076509922446,0.39623379321213414,0.5292017983205317,64.2053,0.05997628205128203,0.06914871794871794,0.0696282051282051,1,1,1,1,1,1,1,1,0
0.9745833333333334,1.059375,3.06125,0.12091666666666667,0.040445085212847676,35.475,2.096875,1.38125,RSN4224_NIIGATA_NIGH07NS,72.38885803784024,0.06168659358336748,0.06168659358336748,56.76000000000002,56.76000000000002,W24X62,W18X40,W14X145,49.0,0.9978076957549509,1.5799188896380696,3.4056302968095715,0.6168565612609345,0.286168270891392,0.6099489206777542,0.8516418848207437,0.49941121216280976,0.357068069021825,0.4521143582253446,26.4499,0.01638461538461539,0.019351282051282066,0.013832051282051294,0,0,0,1,1,0,0,1,0
1.055416666666667,1.396875,2.89625,0.10391666666666667,0.04308113293756523,37.825,1.5510416666666669,0.83875,RSN930_BIGBEAR_SB2270,13.683648897782207,0.07164092637679953,0.07164092637679953,49.172500000000014,49.172500000000014,W27X84,W21X44,W14X211,39.0,0.7835943510992386,1.7553459039520514,3.1698408056524596,0.6012585122342339,0.3329557322830371,0.8690783154707,1.462794382456926,1.0913261422929252,0.3388261045684771,0.39350098042060566,24.4416,0.0112628205128205,0.013612179487179486,0.010717307692307698,0,0,0,0,0,0,0,1,0
0.8045833333333334,1.8822916666666667,3.91625,0.15158333333333335,0.014510024400151013,44.72500000000001,1.0427083333333331,0.68125,RSN522_PALMSPR_INO225,24.554064568001472,0.0613762893109798,0.0613762893109798,102.86750000000008,102.86750000000008,W24X68,W18X40,W14X193,24.0,0.9043095753858591,2.6416868802536846,4.584747263318946,0.3045718019601431,0.17549131655970218,0.8915046049670916,1.725294784439663,0.7690331054768947,0.199000726309382,0.22789080654979252,25.1285,0.024852564102564097,0.03139679487179487,0.03297243589743587,0,0,0,1,1,1,1,1,0
0.93125,1.7239583333333337,2.81375,0.11708333333333334,0.020784090691397764,29.275,1.4510416666666668,1.56125,RSN5804_IWATE_55446NS,11.657582445538695,0.11257808203130551,0.11257808203130551,49.76750000000001,49.76750000000001,W24X62,W18X40,W14X145,30.0,0.9978076956164255,2.208538444456916,3.1889610873106085,0.4216589493097985,0.29202300514283297,0.9401946252888356,1.5662311743054604,0.5592905963766193,0.6510589464009987,0.6423843382071628,31.4781,0.05800320512820513,0.0681801282051282,0.07397051282051283,1,1,1,1,1,1,1,1,0
1.0354166666666669,1.446875,3.65125,0.13258333333333333,0.009591681258677778,31.675,1.471875,1.11625,RSN1148_KOCAELI_ARE000,14.128507311097339,0.0766550557371666,0.0766550557371666,85.52250000000005,85.52250000000005,W21X68,W16X40,W14X145,42.0,1.0160986082546681,2.379616208420547,4.180387121840587,0.4351191856076309,0.24768439775758905,0.8824476832379534,1.6478134590962068,0.44607396801653176,0.3608362400650564,0.5177662303485188,44.6547,0.08453269230769234,0.10044551282051281,0.11914166666666673,1,1,1,1,1,1,1,1,0
1.0004166666666667,1.1885416666666666,3.65625,0.12825,0.030672254040346035,31.625,1.140625,1.60375,RSN8597_SIERRA.MEX_CISWSHNN,22.109781873339866,0.05155613158933295,0.05155613158933295,82.22500000000005,82.22500000000005,W24X55,W18X35,W14X120,32.0,1.0888737199077363,1.6179197694636058,4.099003115386685,0.6183351520566055,0.24406340724927483,0.7024575697967621,1.2802673615713824,0.591075154502498,0.3234734763187494,0.3861932113059611,32.3792,0.021916025641025644,0.023927564102564063,0.020022435897435898,0,0,0,1,1,1,1,1,0
1.2854166666666669,1.628125,2.64125,0.17091666666666666,0.0813149976107341,41.77500000000001,1.1885416666666666,1.53625,RSN4854_CHUETSU_65020NS,18.60522015540717,0.252697484470616,0.252697484470616,50.130000000000024,50.130000000000024,W24X76,W21X50,W14X176,28.0,0.8614012445477934,2.406120079971825,3.20055400427775,0.5342279786309413,0.4016231767839641,1.1729362983086813,2.1608716660755016,0.9574691747803276,0.550483213708151,0.8194327300015684,30.2164,0.1041147435897436,0.11334423076923077,0.1164705128205128,1,1,1,1,1,1,1,1,0
0.9470833333333334,1.6239583333333334,3.69625,0.11558333333333334,0.005941927318355078,37.075,1.2114583333333333,1.34625,RSN6980_DARFIELD_WAKCN80E,8.407277697071935,0.07393880892529492,0.07393880892529492,85.27250000000005,85.27250000000005,W24X55,W18X35,W14X120,34.0,1.088873719675858,2.6395212337949068,4.174272580886674,0.35880875713649313,0.2268858381864846,0.9042708037426875,1.8425751313843828,0.6017471509592391,0.22562063505111468,0.36768153454599223,34.6366,0.02726410256410256,0.033180128205128195,0.031778205128205124,0,0,0,1,1,1,1,1,0
0.9170833333333334,1.246875,3.54375,0.15425,0.017194081594738245,27.775,1.8364583333333333,0.59875,RSN3747_CAPEMEND_CRW270,4.839501027828715,0.06615936373777741,0.06615936373777741,83.32500000000005,83.32500000000005,W24X84,W21X44,W14X211,43.0,0.8144573822424584,2.049518353649964,4.126330105450411,0.4474628547239453,0.222251567348422,0.6755484243578906,0.8805186589573705,0.756523713644823,0.353190856452025,0.37482376762533376,31.346,0.008283974358974365,0.009031410256410273,0.006515384615384621,0,0,0,0,0,0,0,1,0
1.2220833333333334,1.2489583333333334,3.06625,0.14208333333333334,0.03932617799561114,38.975,2.246875,1.05375,RSN725_SUPER.B_B-POE270,5.013526983854411,0.14455311858130104,0.14455311858130104,62.36000000000002,62.36000000000002,W24X84,W21X44,W14X211,63.0,0.814457382306383,2.407792782679112,3.5696806128971597,0.5075533667700179,0.34235088957762194,0.8980006329920401,1.6863654782229194,0.7781894376124017,0.3740247581926172,0.5308232609571313,38.4882,0.01430833333333335,0.016865384615384615,0.012799358974358955,0,0,0,0,1,0,0,1,0
