S1,S1Ampli,Tm,zetaM,mu1,R1,moatAmpli,RI,GMFile,GMScale,mu2,mu3,R2,R3,beam,roofBeam,col,moatGap,Tfb,T1,T2,ST1,ST2,GMSavg,GMS1,GMST1,GMST2,GMSTm,maxDisplacement,driftMax1,driftMax2,driftMax3,collapseDrift1,collapseDrift2,collapseDrift3,serviceDrift1,serviceDrift2,serviceDrift3,impacted,uplifted,runFailed,GMSTfb,GmSavgTm,IPTm,PGV,PGA,FIV3Tm,Magnitude,Rjb,Duration595,Arias
1.1929166666666666,1.6635416666666667,3.27625,0.14808333333333334,0.04107886371266148,33.025,1.1010416666666667,1.7312500000000002,RSN1833_HECTOR_SNC090,71.28763557307882,0.08809285724552421,0.08809285724552421,69.35250000000003,69.35250000000003,W24X62,W21X44,W14X145,32.0,0.9756639690058896,1.8977584940013683,3.764500575144044,0.6285924528528585,0.3168857708624526,1.125079284775695,1.4847703191998167,1.0005126301957394,0.6548218947899572,0.5520957016777044,33.9273,0.054346153846153836,0.06521025641025642,0.06256602564102565,1,1,1,1,1,1,1,1,0,1.527283364127663,1.0524811564564749,5921.612492217574,130.81222839504358,1.518222042192484,396.3011476153092,7.13,72.88,26.8,0.0
1.0179166666666668,2.246875,2.8512500000000003,0.15658333333333335,0.02807599115248717,17.975,1.3239583333333331,0.51875,RSN82_SFERN_PHN180,27.327306924199032,0.08847761831947472,0.08847761831947472,53.92500000000002,53.92500000000002,W30X108,W21X55,W14X342,28.0,0.622215760574942,1.5835010810547692,3.3194901493342,0.6428266319771839,0.3066484974720691,1.253264991432287,1.5837013310895909,1.0950822493902337,1.1215245047109246,1.1681471182653111,32.0751,0.14111025641025646,0.14414487179487176,0.14994871794871795,1,1,1,1,1,1,1,1,0,1.64031736542068,1.2818929068444085,3318.676460388064,55.30422458696994,0.7366378914524707,294.2888979934988,6.61,68.84,49.2,0.0
1.27625,1.659375,3.51375,0.13241666666666668,0.04346152217288488,34.825,1.1739583333333332,1.83375,RSN347_COALINGA.H_H-Z09000,18.604016263384565,0.07227926393647968,0.07227926393647968,76.61500000000005,76.61500000000005,W24X62,W21X44,W14X132,40.0,0.9966987297986256,1.6843990271362956,3.9567007953656064,0.7576886351981551,0.3225540838202481,1.1836181363681904,2.4024631274014405,1.604561582120728,0.4090536085027796,0.6132456508307244,41.3003,0.04235384615384615,0.0452679487179487,0.03932179487179487,0,0,0,1,1,1,1,1,0,2.3804495963180696,0.9748699861709058,1959.9697274555094,67.83518704777225,0.9189025940924748,177.6862090466556,6.36,30.43,19.9,0.1
1.24875,1.6260416666666666,3.45125,0.11075000000000004,0.03551773997301787,16.825,1.315625,1.28875,RSN471_MORGAN_SJL270,27.243307022243627,0.0563863430954962,0.0563863430954962,70.66500000000003,70.66500000000003,W24X68,W18X40,W14X159,46.0,0.9415221505330968,1.1280116080046318,3.799955309214645,1.1070364800668544,0.3286222858915899,1.1457641404001933,2.6627207806927697,2.335857464742842,0.4683186997397451,0.6066411462007806,46.0425,0.021364743589743603,0.02513076923076924,0.018698076923076862,0,0,0,1,1,1,1,1,0,3.226547563260953,0.8918825085684108,1049.1555269953558,78.43423799996481,1.8940901034222777,203.64919082482487,6.19,31.88,19.7,0.2
1.07625,1.2697916666666669,2.95625,0.11975,0.023290638877599745,32.625,1.8114583333333327,1.15625,RSN1106_KOBE_KJM000,1.726294558533405,0.12741839234620772,0.12741839234620772,55.46250000000002,55.46250000000002,W24X76,W18X40,W14X176,45.0,0.8916919763723269,2.334096225013889,3.3664799184479053,0.4610992419533156,0.319695951282014,0.8073659030819247,2.635860172184512,0.4359726821019848,0.20108693407820485,0.2978480011084836,21.2529,0.009948076923076922,0.014835320512820513,0.014177692307692306,0,0,0,0,0,0,0,1,0,3.1597823191851044,0.8073659030819247,861.4968122559472,61.94800176040232,1.0192329638477942,116.21939770945237,6.9,0.94,9.5,8.4
1.0820833333333333,1.415625,3.28125,0.11675,0.0043530923396598465,18.825,1.903125,1.05125,RSN4224_NIIGATA_NIGH07NS,106.92454238710016,0.07222778416895131,0.07222778416895131,65.88750000000005,65.88750000000005,W24X76,W18X40,W14X193,53.0,0.8741877603727691,1.9012778529087893,3.6692543851292716,0.5691347699011169,0.29490550933693593,0.9009467891990018,1.2579479947666037,0.7824730714684119,0.3941846779282237,0.5747912886714991,50.6833,0.017866025641025657,0.02074935897435901,0.015425641025641012,0,0,0,1,1,1,0,1,0,1.4571746720496537,0.7914859356944556,2003.5709696943911,127.47218791150256,9.003199371089446,205.2255722013208,6.63,40.76,15.5,0.1
1.1845833333333329,1.2781250000000002,3.95375,0.12908333333333336,0.0074457471051901794,21.175,1.840625,1.96875,RSN347_COALINGA.H_H-Z09000,14.008985522318024,0.061758351403693214,0.061758351403693214,97.40500000000002,97.40500000000002,W24X55,W18X35,W14X132,66.0,1.0684883523032391,1.9506999981840405,4.4613565435709726,0.6072606420444424,0.2655208840101278,0.8912747173291516,1.8090755615984784,1.0347178596490654,0.20969947028889604,0.30862536268556906,29.8757,0.015266025641025634,0.017527564102564088,0.011919871794871776,0,0,0,1,1,0,0,1,0,2.032775711514395,0.6851961977615838,1025.8360182254346,51.080483902086804,0.6919416192081974,137.53823265688033,6.36,30.43,19.9,0.1
1.1329166666666668,1.4114583333333337,2.60875,0.11325,0.04143405403253368,21.475,2.0322916666666666,0.81625,RSN8163_SIERRA.MEX_SIV000,80.24477220683785,0.08984337777362332,0.08984337777362332,40.80250000000002,40.80250000000002,W30X90,W18X50,W14X257,48.0,0.7141922414670896,1.5376743351543505,2.8874847156181698,0.7367728268371895,0.3923541691974377,0.9369014703966294,1.8960523658211592,0.8451800295515323,0.5086569060519146,0.5066425417091229,22.9524,0.009342307692307691,0.013055128205128191,0.012158333333333328,0,0,0,0,0,0,0,1,0,2.0644463372472805,1.0875263050197683,1067.7117458779003,80.67800290303883,2.7375704650293256,213.95206474744342,7.2,55.19,33.1,0.0
1.1529166666666666,1.9552083333333328,3.10375,0.15808333333333335,0.04689868882883945,40.325,1.4177083333333331,0.97625,RSN827_CAPEMEND_FOR000,9.527575446173794,0.1159619867853696,0.1159619867853696,64.52000000000002,64.52000000000002,W24X84,W21X44,W14X211,37.0,0.814457382326967,2.215283578629867,3.6309769058838453,0.5204375086731493,0.3175224454879936,1.2400577557025183,1.7136259087186398,1.3970995064444167,0.6038956405871987,0.8272721004964706,39.269,0.15499423076923075,0.16005576923076922,0.15518589743589745,1,1,1,1,1,1,1,1,0,2.2796201815916546,1.182881342233509,3528.9803413733557,109.03808367720352,1.0132547904279492,311.0726109574045,7.01,15.97,18.7,0.3
1.2679166666666668,1.1302083333333337,3.3937500000000003,0.10591666666666667,0.020919236873853088,16.175,1.6177083333333333,1.63625,RSN5267_CHUETSU_NIG021NS,12.781361294668875,0.06204371503412667,0.06204371503412667,67.93500000000003,67.93500000000003,W24X68,W18X40,W14X159,56.0,0.9415221504640616,1.480129637382975,3.725830531136595,0.8566254162091348,0.3403044384522445,0.8454527689399576,1.7834549170683989,0.7062450815431266,0.4488402713048028,0.5635509492523005,38.4541,0.016791025641025633,0.01891282051282048,0.014017307692307704,0,0,0,1,1,0,0,1,0,2.138282184015912,0.6854252645328828,782.5183683083949,47.48457717197621,2.7738276439387217,147.21840541846692,6.8,24.31,18.0,0.8
