"Pi1a","Pi1b","Pi2a","Pi2b","Pi3","Pi4","Pi5","Pi6","Pi7","Pi8","Pi9","Pi10","Pi11","Pi12","impacted","collapse"
3.5757793999797,2.94513906732167,3.25871751354651,2.68399562304252,1.23577480086584,1.12619950391901,1.85265086600998,1.68837759499037,0.295316479182172,0.00553818918725956,0.116354310800914,0.304776286352551,0.269130971210165,0.277751983821027,1,0
1.53467913143907,1.53467913143907,2.21767753866289,2.21767753866289,0.382235514475981,0.552346804988333,0.566163507645241,0.818130688294499,0.0747892653435105,0.00398172779899252,0.081862357996092,0.153580320123624,0.108073714229682,0.221930186800314,0,0
2.06615758760148,1.58842531429953,2.97478219934447,2.28695980322183,0.486126379700058,0.699907940053231,0.71545688713119,1.03009006912535,0.0724412349019314,0.00322493741300368,0.0602140217341983,0.162131003816632,0.104298383326588,0.233430609073461,0,0
3.16002875824432,3.01432658427342,3.33834124402893,3.18441746234095,1.53890218617505,1.62573857128082,2.10813054185612,2.22708705334232,0.457713554621363,0.00486255945316099,0.168592300344179,0.480973667976735,0.483541180869673,0.50811380399927,1,1
1.70191708762311,1.37977781001264,2.26296838745184,1.83463318423277,0.903526436260669,1.20138153459665,1.13444183461753,1.5084201385672,0.0597806049496644,0.0118667901899817,0.059858595174121,0.185582087004964,0.0794877847855512,0.246760784778356,0,0
1.53760121743418,1.64375122272045,1.62643276128098,1.73871535071325,1.06172700734448,1.12306596060287,0.963922538598302,1.01961105281221,0.0525251421097411,0.00433113799260227,0.052030975856514,0.206935139595633,0.0555596671943184,0.218890364213045,0,0
2.24229051239572,2.24229051239572,2.68409758771431,2.68409758771431,0.578163031513904,0.692080704803071,0.927555026755875,1.11031474112056,0.131614438752654,0.00711617748124192,0.0588716703383574,0.24866906989563,0.157546934980755,0.297665287774376,0,0
2.58933578219419,2.00092615914898,3.79638793834567,2.93368360656432,0.946536590000971,1.38777678746535,1.26417502541618,1.85348646222349,0.265112600890002,0.012819005925105,0.0764714947225691,0.335087441035627,0.38869824734333,0.491292758624291,1,1
1.82954788785246,1.91717119172317,2.38490460751553,2.49912584354575,0.713282765117425,0.929798757542631,0.828382062675759,1.0798362869734,0.109021849532768,0.0068484745427169,0.0576839962266159,0.242621621984279,0.142115280500125,0.316269078276162,0,0
2.42853801740011,2.50596212806816,2.84077597520157,2.93134262555304,1.68169585357665,1.96715931321966,1.65928919944553,1.94094918832795,0.171982041971137,0.0181979058195939,0.112227806276988,0.311526130407484,0.201175542444565,0.364406873834534,1,1
2.74157542088701,2.24218351846505,3.11182657875822,2.54499154539244,1.12104069795704,1.27243781556945,1.6085884725543,1.8258291656113,0.363172677659568,0.0141113174655459,0.090405687858352,0.319996445138023,0.412219332873284,0.363212128144362,1,1
2.86030796983558,3.39316624758648,2.41012745380186,2.85911979229708,1.34240156579736,1.13112255808621,1.99825853436995,1.68375496774066,0.419690532080007,0.00989409490304746,0.134444055350775,0.308985529541184,0.3536359315619,0.260354659508053,1,1
3.55647408136751,2.54837626549815,3.52916247250391,2.52880624918193,0.887360221583904,0.880545822058266,1.44608212760826,1.43497707565222,0.129798440468999,0.00756554370663368,0.0999231736335062,0.27852558260781,0.128801665529525,0.276386671541216,1,0
1.93104130434743,1.62596160375267,2.61042223951107,2.19800908529059,1.00958881337777,1.36478338669899,1.0714260459176,1.44837625790707,0.0905019749405828,0.00370007765763077,0.0485209679461506,0.177607068970244,0.122342472723238,0.240092970404368,0,0
1.31168211467404,1.26550205988458,2.25311512382831,2.1737902792632,0.546326547824257,0.938441253167225,0.775357334805567,1.33185420299473,0.0474476693909457,0.00678751164932657,0.0494030615232211,0.125889388559534,0.0815022636194986,0.216243922303897,0,0
1.65129306291998,1.33873591293853,2.8157411628237,2.28277699510571,0.86427516396801,1.47373910169987,1.10699235545903,1.88761402333112,0.0567069175891015,0.0112010712504393,0.0572598144470974,0.177765952297516,0.0966951328373755,0.303121790112508,0,0
4.51765918960355,4.1886303857048,3.36810683806939,3.12280188746942,1.54041013417651,1.14844119235267,2.19515733341011,1.63658304334055,0.658109414741233,0.0150312181119586,0.170516755624233,0.405538502693403,0.490648525477263,0.302346181218229,1,1
2.68490444589529,1.95343201683307,4.29925274040537,3.12796902862021,0.532294549286393,0.852346459934914,0.677442542469801,1.08476735983402,0.168743273746185,0.00891604706305614,0.063835523077101,0.209741962067791,0.27020327788103,0.335853183369906,0,0
1.48128319961689,1.21056333279282,2.1574796592568,1.76317787673426,0.776073276186073,1.13034584331834,0.615184287210215,0.896012043270124,0.0881499826682817,0.00911944851445211,0.0819160827967219,0.248178212198411,0.128389895071952,0.361470004403799,0,0
2.03446003531433,2.03446003531433,2.68345047879886,2.68345047879886,1.79414638511748,2.36647704678795,1.96370926480427,2.59013029275192,0.177642653399928,0.00209776854058827,0.0535463510647084,0.278790870720413,0.234310458326347,0.367724842235034,1,1
1.37821718663674,1.49159342720255,1.84720857631198,1.99916544200326,0.700953263644263,0.939479562983302,1.06251350931514,1.42407458409643,0.118660358735802,0.00244945153356122,0.0527869459054443,0.159844536922725,0.15903910824093,0.214237786571805,0,0
1.32679284505681,1.58071771606721,1.70989716415513,2.03714148000049,0.507855812237742,0.654496454650262,1.0468085295422,1.34906887894844,0.0692298544281492,0.00464635739612569,0.0427926501944631,0.175100377828849,0.089219603649955,0.225659672953106,0,0
3.6805886532204,3.03067707080601,3.82217958545387,3.14726613635632,1.17716750691163,1.22245272088215,1.69729168535598,1.76258589088786,0.521385225608392,0.00597865462442927,0.0957780336003666,0.294104623087171,0.541442729204197,0.305418722999056,1,1
3.54189127632188,3.08323244190409,4.12954557171092,3.59478817493307,1.37777007557617,1.6063633439194,1.92367092035484,2.24283754379661,0.447344197891237,0.00358986150886163,0.140118600860352,0.423872810640104,0.521565487846006,0.494199836073238,1,1
3.94677186004625,4.45506975402209,3.26947298860576,3.6905427371115,1.89689258862758,1.57137004638815,2.65993397218481,2.20346718328714,0.314372797408014,0.00701690909128212,0.125306749971304,0.378691266027168,0.260423811136093,0.313704695685713,1,1
2.39176576640812,1.60842167480047,3.90015121672482,2.62278515734438,0.507610334746776,0.827738691008138,0.69582952671529,1.13465976199135,0.082037187628605,0.0136417524148623,0.0769064780529368,0.17417880382881,0.133774570085468,0.284026004227327,0,0
2.66587646588873,2.09688758756654,4.39802328233983,3.45933524998977,1.00683397919411,1.66102193353898,1.4017685547984,2.31256429896123,0.0966199864341502,0.0186776987209678,0.0884027669852688,0.226919714241019,0.159398590037475,0.374360252331196,0,0
2.84652784467168,2.18836012967617,3.21605032231538,2.47244245776873,0.630802298762211,0.712690002330008,1.01511886878144,1.14689669073289,0.130756359730902,0.00418759792463243,0.079088371103516,0.212022298106831,0.147730517951724,0.2395460074072,0,0
